id,pro,cho,fat,n,age,hg,hgsd,wg,wgsd,bmi,bmisd,h,hsd,w,wsd
7th,hm,hm,hm,65,4,1.09 ,0.07 ,24.0 ,3.1 ,15.70 ,1.10 ,632 ,24 ,6260 ,700 
7th,hm,hm,hm,63,6,0.95 ,0.04 ,22.4 ,2.1 ,16.40 ,1.10 ,672 ,22 ,7410 ,700 
7th,lp,,,74,0,,,,,13.10 ,0.90 ,502 ,19 ,3410 ,410 
7th,lp,,,72,2,1.38 ,0.07 ,30.3 ,2.5 ,15.30 ,1.10 ,585 ,23 ,5230 ,560 
7th,lp,,,71,4,1.13 ,0.03 ,26.1 ,2.4 ,16.00 ,1.40 ,638 ,23 ,6540 ,700 
7th,lp,,,71,6,0.98 ,0.01 ,23.4 ,2.2 ,16.60 ,1.40 ,678 ,21 ,7620 ,800 
7th,hp,,,80,0,,,,,13.10 ,1.00 ,501 ,16 ,3380 ,380 
7th,hp,,,77,2,1.37 ,0.08 ,32.3 ,3.5 ,15.60 ,1.10 ,583 ,21 ,5320 ,590 
7th,hp,,,74,4,1.17 ,0.06 ,27.7 ,2.9 ,16.30 ,1.30 ,641 ,23 ,6700 ,730 
7th,hp,,,72,6,1.01 ,0.06 ,24.8 ,2.7 ,16.80 ,1.30 ,682 ,26 ,7840 ,870 
8th,hm,hm,hm,12,0,,,,,13.93 ,,494 ,16 ,3400 ,400 
8th,lp,,,173,0,,,,,13.39 ,0.19 ,494 ,18 ,3268 ,402 
8th,lp,,,173,4,1.07 ,0.19 ,30.7 ,6.3 ,,,,,6520 ,548 
9th,hm,hm,hm,63,0,,,,,13.50 ,1.30 ,513 ,21 ,3600 ,500 
9th,hm,hm,hm,63,3,1.20 ,0.01 ,34.1 ,1.2 ,17.10 ,1.50 ,615 ,20 ,6500 ,600 
9th,mp,lc,hf,65,0,,,,,13.30 ,1.20 ,513 ,20 ,3500 ,400 
9th,mp,lc,hf,65,3,1.24 ,0.01 ,35.7 ,2.4 ,17.10 ,1.40 ,617 ,21 ,6500 ,600 
10th,hm,hm,hm,82,0,,,,,12.57 ,,499 ,21 ,3131 ,380 
10th,hm,hm,hm,82,4,0.88 ,0.13 ,27.8 ,1.4 ,17.74 ,,604 ,6 ,6470 ,211 
10th,lp,,,35,0,,,,,12.02 ,,496 ,22 ,2953 ,321 
10th,lp,,,35,4,0.86 ,0.07 ,28.79 ,1.20 ,17.86 ,,599 ,13 ,6407 ,465 
10th,mp,,,24,0,,,,,12.39 ,,492 ,21 ,2999,399 
10th,mp,,,24,4,0.95 ,0.09 ,30.6 ,0.1 ,18.17 ,,606 ,10 ,6674.1,387 
11th,hm,hm,hm,120,0,,,,,,,,,3480 ,390 
11th,hm,hm,hm,109,3,,,27.8 ,2.7 ,15.99 ,,610 ,21 ,5950 ,630 
11th,hp,lc,hf,103,0,,,,,13.07 ,,513 ,22 ,3440,460 
11th,hp,lc,hf,76,3,1.19 ,0.02 ,32.3 ,3.1 ,16.34 ,,612 ,24 ,6120 ,720 
11th,mp,lc,hf,100,0,,,,,13.36 ,,514 ,19 ,3530,420 
11th,mp,lc,hf,75,3,1.24 ,0.05 ,30.1 ,2.7 ,15.84 ,,617 ,23 ,6030 ,640 
12th,hm,hm,hm,58,0,,,,,,,,,3660 ,473 
12th,hm,hm,hm,58,1,1.37 ,0.41 ,36.7 ,12.4 ,,,,,4688 ,641 
12th,hm,hm,hm,58,2,1.29 ,0.36 ,33.9 ,11.2 ,,,,,5556 ,873 
12th,hm,hm,hm,58,3,1.17 ,0.36 ,30.5 ,10.7 ,,,,,6219 ,1191 
12th,mp,,,95,0,,,,,,,,,3512 ,459 
12th,mp,,,95,1,1.54 ,0.45 ,35.4 ,9.7 ,,,,,4502 ,624 
12th,mp,,,95,2,1.36 ,0.37 ,33.7 ,8.9 ,,,,,5402 ,850 
12th,mp,,,95,3,1.25 ,0.36 ,31.1 ,8.5 ,,,,,6125 ,1160 
13th,hm,,,28,0,,,,,13.90 ,1.10 ,495 ,17 ,3400 ,370 
13th,hm,,,28,1,1.65 ,0.50 ,27.7 ,9.5 ,14.26 ,1.01 ,545 ,32 ,4231 ,501 
13th,hm,,,28,2,1.35 ,0.24 ,30.1 ,6.7 ,15.71 ,1.17 ,576 ,31 ,5206 ,501 
13th,hm,,,28,3,1.25 ,0.17 ,27.8 ,5.3 ,16.03 ,1.35 ,608 ,32 ,5902 ,501 
13th,hm,,,28,4,1.13 ,0.13 ,25.4 ,4.6 ,16.25 ,1.21 ,631 ,33 ,6448 ,501 
13th,mp,,,29,0,,,,,13.50 ,0.90 ,492 ,19 ,3280 ,430 
13th,mp,,,29,1,1.57 ,0.57 ,30.9 ,8.0 ,14.46 ,1.14 ,539 ,36 ,4207 ,585 
13th,mp,,,29,2,1.41 ,0.25 ,32.8 ,6.7 ,15.74 ,1.06 ,577 ,34 ,5248 ,584 
13th,mp,,,29,3,1.26 ,0.15 ,30.8 ,56.0 ,16.49 ,1.28 ,605 ,33 ,6052 ,584 
13th,mp,,,29,4,1.17 ,0.17 ,28.6 ,4.4 ,16.78 ,1.32 ,632 ,39 ,6712 ,584 
13th,lp,,,56,0,,,,,13.40 ,1.04 ,489 ,17 ,3205 ,343 
13th,lp,,,56,1,1.49 ,0.47 ,26.0 ,8.3 ,13.98 ,0.83 ,534 ,31 ,3986 ,465 
13th,lp,,,56,2,1.32 ,0.26 ,28.8 ,7.3 ,15.27 ,1.21 ,568 ,33 ,4932 ,463 
13th,lp,,,56,3,1.18 ,0.22 ,27.9 ,6.1 ,16.17 ,1.43 ,595 ,37 ,5718 ,468 
13th,lp,,,56,4,1.09 ,0.16 ,26.5 ,5.4 ,16.62 ,1.45 ,620 ,37 ,6389 ,477 
14th,hm,hm,hm,73,4,,,,,,,,,6700 ,296 
14th,lp,,,73,4,,,,,,,,,6900 ,148 
14th,mp,,,76,4,,,,,,,,,6900 ,444 
15th,hm,hm,hm,56,0,,,,,12.70 ,,503 ,17 ,3212 ,376 
15th,hm,hm,hm,56,4,1.02 ,0.03 ,26.8 ,3.0 ,16.38 ,,620 ,20 ,6295 ,717 
15th,lp,,,113,0,,,,,12.92 ,0.28 ,502 ,17 ,3256 ,359 
15th,lp,,,113,4,1.06 ,0.04 ,28.8 ,3.3 ,16.88 ,0.22 ,624 ,22 ,6565 ,739 
16th,hm,hm,hm,25,0,,,,,12.65 ,,503 ,5 ,3200 ,100 
16th,hm,hm,hm,25,3,1.22 ,0.01 ,34.5 ,1.1 ,16.72 ,,609 ,4 ,6200 ,200 
16th,hp,,,51,0,,,,,12.83 ,0.02 ,496 ,6 ,3151 ,111 
